Year,Exports
1973,539
1974,421
1975,555
1976,564
1977,700
1978,739
1979,875
1980,724
1981,929
1982,905
1983,743
1984,598
1985,740
1986,757
1987,804
1988,527
1989,622
1990,557
1991,684
1992,770
1993,589
1994,838
1995,850.5
1996,881.6
1997,872.5
1998,800.5
1999,973
2000,996
2001,1064
2002,1045
2003,885
2004,1103
2005,947
2006,1118
2007,1160
2008,1283
2009,1499
2010,1501
2011,1365
2012,1317
2013,1638
2014,1843
2015,1942
2016,2166
2017,2134
2018,1752
2019,1679
2020,2266
2021,2152
2022,1980
2023,1695
2024,1825