year,harvested,planted,lossratio
1985,61599000,63145000,97.5516668
1986,58312000,60405000,96.53505505
1987,57172000,58180000,98.26744586
1988,57373000,58840000,97.5067981
1989,59538000,60820000,97.89214074
1990,56512000,57795000,97.78008478
1991,58011000,59180000,98.0246705
1992,58233000,59180000,98.39979723
1993,57307000,60085000,95.37654989
1994,60809000,61620000,98.68386887
1995,61544000,62495000,98.47827826
1996,63349000,64195000,98.68214035
1997,69110000,70005000,98.72151989
1998,70441000,72025000,97.80076362
1999,72446000,73730000,98.25851078
2000,72408000,74266000,97.49818221
2001,72975000,74075000,98.51501856
2002,72497000,73963000,98.01792788
2003,72476000,73404000,98.73576372
2004,73958000,75208000,98.33794277
2005,71251000,72032000,98.91575966
2006,74602000,75522000,98.78181192
2007,64146000,64741000,99.08095334
2008,74681000,75718000,98.63044454
2009,76372000,77451000,98.60686111
2010,76610000,77404000,98.97421322
2011,73776000,75046000,98.30770461
2012,76144000,77198000,98.63467965
2013,76233000,76820000,99.23587607
2014,82611000,83296000,99.17763158
2015,81742000,82660000,98.88942657
2016,82706000,83453000,99.10488538
2017,89542000,90162000,99.31234888
2018,87594000,89167000,98.23589445
2019,74918000,76100000,98.44678055
2020,82603000,83354000,99.09902344
2021,86292000,87195000,98.96439016
2022,86174000,87450000,98.5408805
2023,82271000,83600000,98.41028708
2024,86050000,87050000,98.85123492